Brand,Customer Id,Online Order,Order Status,Product Class,Product Id,Product Line,Product Size,Transaction Date,Transaction Date1,Transaction Id,List Price,Product First Sold Date,Profit,Standard Cost
Solex,2950,False,Approved,medium,2,Standard,medium,February,25-02-2017,1,71.49,41245,17.87,53.62
Trek Bicycles,3120,True,Approved,medium,3,Standard,large,May,21-05-2017,2,2091.47,41701,1702.55,388.92
OHM Cycles,402,False,Approved,low,37,Standard,medium,October,16-10-2017,3,1793.43,36361,1544.61,248.82
Norco Bicycles,3135,False,Approved,medium,88,Standard,medium,August,31-08-2017,4,1198.46,36145,817.36,381.1
Giant Bicycles,787,True,Approved,medium,78,Standard,large,October,01-10-2017,5,1765.3,42226,1055.82,709.48
Giant Bicycles,2339,True,Approved,medium,25,Road,medium,March,08-03-2017,6,1538.99,39031,709.34,829.65
WeareA2B,1542,True,Approved,medium,22,Standard,medium,April,21-04-2017,7,60.34,34165,15.08,45.26
WeareA2B,2459,False,Approved,medium,15,Standard,medium,July,15-07-2017,8,1292.84,39915,1279.4,13.44
Solex,1305,False,Approved,medium,67,Standard,large,August,10-08-2017,9,1071.23,33455,690.49,380.74
WeareA2B,3262,True,Approved,medium,12,Standard,medium,August,30-08-2017,10,1231.15,38216,1069.55,161.6
Trek Bicycles,1986,False,Approved,low,5,Mountain,medium,January,17-01-2017,11,574.64,40784,114.93,459.71
OHM Cycles,2783,True,Approved,low,61,Standard,medium,January,05-01-2017,12,71.16,42172,14.23,56.93
Trek Bicycles,1243,True,Approved,low,35,Standard,medium,February,26-02-2017,13,1057.51,34527,903.11,154.4
Norco Bicycles,2717,False,Approved,high,16,Standard,small,September,10-09-2017,14,1661.92,34586,182.81,1479.11
Giant Bicycles,247,False,Approved,medium,12,Standard,large,June,11-06-2017,15,1765.3,38193,1055.82,709.48
Trek Bicycles,2961,False,Approved,medium,3,Standard,large,October,10-10-2017,16,2091.47,37873,1702.55,388.92
Norco Bicycles,2426,False,Approved,medium,79,Standard,medium,April,03-04-2017,17,1555.58,38206,737.57,818.01
Giant Bicycles,1842,False,Approved,medium,33,Standard,small,June,02-06-2017,18,1311.44,33888,144.26,1167.18
WeareA2B,2268,True,Approved,medium,54,Standard,medium,April,06-04-2017,19,1292.84,39915,1279.4,13.44
Giant Bicycles,3002,True,Approved,medium,25,Road,medium,January,28-01-2017,20,1538.99,37337,709.34,829.65
Trek Bicycles,1582,False,Approved,medium,27,Standard,medium,October,09-10-2017,21,499.53,36334,110.81,388.72
OHM Cycles,595,True,Approved,low,37,Standard,medium,June,29-06-2017,22,1793.43,36361,1544.61,248.82
OHM Cycles,2001,True,Approved,low,37,Standard,medium,April,08-04-2017,23,1793.43,42145,1544.61,248.82
Giant Bicycles,515,False,Approved,medium,82,Road,medium,October,18-10-2017,24,1538.99,42404,709.34,829.65
WeareA2B,2822,False,Approved,medium,89,Touring,large,June,11-06-2017,25,1362.99,34079,1305.25,57.74
Trek Bicycles,2596,False,Approved,medium,64,Standard,large,January,10-01-2017,26,1469.44,42145,872.89,596.55
Trek Bicycles,2666,True,Approved,medium,64,Standard,large,April,11-04-2017,27,1469.44,41047,872.89,596.55
Trek Bicycles,76,False,Approved,low,19,Mountain,medium,December,23-12-2017,28,574.64,42560,114.93,459.71
Norco Bicycles,3368,True,Approved,medium,72,Standard,medium,October,13-10-2017,29,360.4,42710,90.1,270.3
WeareA2B,1173,False,Approved,low,91,Standard,medium,March,15-03-2017,30,642.31,41922,128.46,513.85
Norco Bicycles,2810,True,Approved,medium,88,Standard,medium,September,05-09-2017,31,1198.46,37539,817.36,381.1
Giant Bicycles,3214,False,Approved,medium,1,Standard,medium,February,18-02-2017,32,1403.5,42688,448.68,954.82
Giant Bicycles,1272,False,Approved,medium,25,Road,medium,March,20-03-2017,33,1538.99,42404,709.34,829.65
Trek Bicycles,2003,True,Approved,low,99,Road,small,February,28-02-2017,34,1720.7,38991,189.28,1531.42
Norco Bicycles,2171,False,Approved,medium,0,Road,medium,August,20-08-2017,35,544.05,38647,167.21,376.84
WeareA2B,3356,False,Approved,medium,92,Standard,small,July,07-07-2017,36,1415.01,37874,155.65,1259.36
Solex,1040,False,Approved,high,14,Standard,large,January,09-01-2017,37,1842.92,34996,737.17,1105.75
Solex,2916,False,Approved,medium,2,Standard,medium,December,06-12-2017,38,71.49,33549,17.87,53.62
WeareA2B,427,False,Approved,medium,12,Standard,medium,September,12-09-2017,39,1231.15,38693,1069.55,161.6
Norco Bicycles,2448,True,Approved,medium,0,Road,medium,November,28-11-2017,40,544.05,38647,167.21,376.84
WeareA2B,2570,True,Approved,medium,44,Standard,medium,May,08-05-2017,41,1769.64,37668,1660.88,108.76
Solex,3398,False,Approved,medium,79,Touring,large,May,14-05-2017,42,2083.94,41533,1408.91,675.03
WeareA2B,488,False,Cancelled,low,76,Standard,medium,March,17-03-2017,43,642.31,41922,128.46,513.85
Solex,165,False,Approved,low,46,Standard,medium,December,22-12-2017,44,1289.85,37668,1215.34,74.51
Trek Bicycles,2787,True,Approved,medium,55,Road,large,June,07-06-2017,45,1894.19,42172,1295.43,598.76
Solex,3053,False,Approved,medium,66,Standard,medium,June,20-06-2017,46,1163.89,42560,574.62,589.27
Trek Bicycles,475,True,Approved,low,35,Standard,medium,May,07-05-2017,47,1057.51,34527,903.11,154.4
